A 夹子】
AB 安倍晋三（首相）
AC AC米兰
AD AD钙奶
AE 艾尔登法环
AF Africa（非洲长颈鹿）
AG ag超玩会
AH 阿虎 （有翅膀的白虎）
AI Artificial intelligence(人工智能机器人)
AJ 按键
AK AK47
AL 阿狸
AM 上午
AN 拉链【形】
AO 奥特曼【音】
AP Apple
AQ 暗器（手里剑）
AR 矮人
AS 爱思
AT ATM (自动提款机)
AW AW338 (狙击枪)
AX 爱心
AY 奥运
AZ 艾滋
B 眼镜
BA 靶
BC 菠菜（大力水手）
BD 板凳【音】
BE bee（蜜蜂）
BF 蝙蝠【音】
BG 饼干【音】
BH 壁虎【音】
BI 笔【音】
BJ 北京（天安门）
BK 贝壳【音】
BL 菠萝【音】
BM 白马【音】
BN 白牛（DOTA人物）
BO 博士帽【音】
BP 鞭炮【音】
BQ 棒球【音】
BR bra(胸罩)
BS 宝石【音】
BT 鼻涕【音】
BW 保卫（萝卜）
BX 宝箱【音】
BY 白云【音】
BZ 鼻子【音】
C 头箍[形]
CA 擦(黑板擦)
CB 茶杯
CD 菜刀
CE 修改器
CF 穿越火线
CG 剧情
CH Chuan船
CI 刺
CJ 茶几
CK 仓库(集装箱)
CL 车轮(轮胎)
CM 草莓
CN 菜鸟
CO 手铐[形]
CP 情侣
CQ 彩旗
CR 超人
CS 反恐精英(拿着手枪)
CT CT机(医用设备)
CW 刺猬
CX 潮汐
CY 苍蝇
CZ 锤子
D 扶手拉环
DA 打针（注射器）
DB 大便
DC 电池
DE 戴尔（笔记本电脑）
DF 敌法（DOTA人物）
DG 蛋糕
DH 电话
DI 笛子
DJ Disc Jockey（打碟工作者）
DK 短裤 
DL 地雷
DM 大米
DN deng灯
DO 哆啦A梦（机器猫）
DP 刀片
DQ 地球（地球仪）
DR 电人（拳皇人物 二阶堂红丸）
DS 电视
DT 电筒
DW 端午（粽子） 典韦
DX 大象 
DY 电影 钓鱼
DZ 电钻
E 视力表
EA ea
EB erB(2B铅笔)
EC 耳垂（释迦摩尼）
ED 二档（变速器）
EF 俄方
EG 二锅（红星二锅头）
EH 耳环
EI 叹气
EJ 耳机
EK E扣（衣扣）
EL 饿狼（灰太狼）
EM 鹅毛
EN cheng秤[音]
EO 鹅蛋【音】
EP 磁带（小专辑）【捆绑】
EQ 恶犬
ER 二人（二人转）
ES 耳勺
ET ET(外星人)
EW 二万（麻将）
EX Exit(安全出口标志)
EY 鳄鱼
EZ 鹅掌
F 大显支架【形】
FA 发（头发）
FB 粉笔
FC 风车
FD 飞碟
FE 飞蛾
FG 发箍（悟空的紧箍）
FH 凤凰
FI Fire(灭火器)
FJ 飞机
FK F-U-C-K（双节棍）【捆绑】
FL 风铃
FM 阀门
FN 蜂鸟
FO 佛（功德佛：唐僧）
FP 飞盘
FQ 风琴
FR 芙蓉（梦幻西游 芙蓉仙子）
FS 风扇
FT 斧头
FW 房屋
FX 方向（方向盘）
FY 防御（防爆盾）
FZ 风筝
G 挡车石【形】
GA gai盖（锅盖）
GB 钢镚（硬币）
GC 我
GD 登
GE ge割（锯子“割”东西）
GF 功夫（会功夫的人）
GH 骨灰（骨灰盒）
GI 光I（光剑，激光剑）
GJ 公交（公交车）
GK 高考
GL 锅炉（太上老君炼丹炉）
GM 古墓（墓碑）
GN 姑娘
GO gou钩（钩子）【音】
GP 光盘
GQ 钢琴
GR 光荣
GT 骨头
GW 狗屋
GX 狗熊
GY 观音
GZ 甘蔗
H 跨栏
HA 蛤（蛤蟆文太）
HB 寒冰【拳皇 冰女】
HC 火车
HD 蝴蝶
HE 鹤【音】
HF 横幅
HG 黄瓜
HI 海【音】
HJ 红椒
HK Hongkong（迪士尼米老鼠）【捆绑】
HL 葫芦
HM 悍马
HN 红牛(饮料)
HO 海O（海马）【音+形】
HP 花瓶
HQ 红旗
HR 火人（拳皇 草稚京）
HS 护士
HT 核桃
HW 护腕
HX 河蟹
HY 火影
HZ 猴子
I 筷子【形】
IA 埃菲尔铁塔【形】
IB 订书机【形】
IC 电话亭（IC电话卡）【捆绑】
ID ID卡（身份证）
IE 拖把【形】
IF 锄头【形】
IG iG（战队）
IH 扁担【形】
IJ 伞【形】
IK 色架带（啥东西？）【形】
IL 编钟（长得像么？）【捆绑】
IM yIng魔（影魔）【音】
IN Ink（墨水）
IO 高尔夫【形】
IP IP地址（路由器）【捆绑】
IQ 吸管【形】
IR I人（"竖"人，DOTA大树）【捆绑】
IS 拐杖（I是拐杖，S是驼背老人）【形】
IT 钉子【形】
IW iWatch(手表)
IX 折叠小板凳【形】
IY 弹弓【形】
IZ 超级玛丽（I是人，Z是弹簧）【捆绑】
J 伞把【形】
JA jia（枷锁）【捆绑】
JB 金币（一大袋金币）
JC 鸡翅
JD 剪刀
JE 面具【捆绑】
JF 飓风（龙卷风）
JG 胶管（胶头滴管）
JH 菊花
JI 吉（如意、中国结）【捆绑】
JK 监控（摄像头）
JL 金龙
JM 鸡毛（鸡毛掸子）
JN 胶囊
JO jio（脚、DOTA假腿）【捆绑】
JP 键盘
JQ 金枪（枪矛）
JR 巨人（DOTA山岭巨人）
JS 剑圣（DOTA剑圣）
JT 吉他
JW 九尾（火影忍者 九尾）
JX 剑侠（梦幻西游 剑侠客）
JY 加油（加油站油箱）
JZ 饺子
K K（拳皇人物）
KA 卡、掐（僵尸掐脖子）【捆绑】
KB 科比
KC 卡车
KD 砍刀
KE 卡尔（DOTA人物）
KF KFC（全家桶）【捆绑】
KG 开关（拉杆）
KI 快乐
KJ 铠甲（铠甲勇士）
KL 开路（压路机）
KM 孔明（孔明灯）
KN柯南
KO 拳击手套【捆绑】
KP 开瓶（开瓶器）
KQ 空气（空气呼吸机）
KR 烤肉
KS 开锁（锁）
KT KT板
KW 渴望
KX 烤箱（微波炉）
KY 烤鸭
KZ 口罩
L L (死亡笔记主角)
LA 喇叭【音】
LB 蜡笔（蜡笔小新）
LC 拉车（板车）
LD 漏斗
LE LED屏
LF 凉粉
LG 龙宫（梦幻西游 龙太子）
LH 轮滑（轮滑鞋）
LI 锂（锂电池）
LJ 垃圾（垃圾桶）
LK 篮筐
LM 流氓（流氓兔）
LN 露娜
LO 锣
LP 礼炮
LQ 刘谦（魔术师）
LR 鹿茸
LS 螺丝（螺丝刀）
LT 龙头（水龙头）
LW 狼王
LX 凉席
LY 轮椅
LZ 蜡烛
M 麦当劳（小丑）
MA 妈（妈妈在打我一次）
MB 面包
MC mc
MD 牡丹
ME 木耳
MF 米粉
MG 蘑菇
MH 棉花（棉花糖）
MI 咪
MJ 墨镜
MK 梅肯（DOTA物品）
ML 麻辣（麻辣烫、火锅）
MN 蒙牛（奶牛）
MO 墨（砚台、烟灰缸）【捆绑】
MP MP3(U盘) 【捆绑】
MQ 煤气（液化气罐）
MR 鸣人（火影忍者 漩涡鸣人）
MS 蟒蛇（火影忍者 大蛇丸）
MT 馒头
MW 魔王（梦幻西游 巨魔王）
MX 毛线（毛线团）
MY 蚂蚁
MZ 帽子（鸭舌帽）
N (N形字母饼干)【形】
NA NANA（动漫人物）
NB 尿布（尿不湿）
NC 奶茶
ND 牛顿（定滑轮）
NE 呐
NF 农夫（农夫山泉）
NG 南瓜（万圣节）
NH 暖壶（热水壶）
NI Nie（镊子）【音】
NJ 牛角
NK Nike(nike Logo)
NL 年轮（树桩）
NM 喇嘛
NO no(不，不倒翁)【捆绑】
NP NPC（梦幻西游NPC：罗道人）【捆绑】
NQ 泥鳅（沙泥鳅、沙和尚）【捆绑】
NR 泥人
NS 磁铁（N极\S极）【意】
NT 牛头（梦幻西游 牛头）
NW 女巫（骑扫把的女巫）
NX 高跟鞋（N是高跟，X是鞋）【形+音】
NY 鲶鱼
NZ 闹钟
O 救生圈【形】
OA 定时炸弹（O是表，A是炸弹）【形】
OB 观察
OC 耳罩
OD 容量瓶【形】
OE 梳子（O是人头，E是数字）【形】
OF 单反（O读作"dan"）【音】
OG 欧哥（欧弟的哥哥、大胡子）【捆绑】
OH 藕荷（荷叶）
OI 气球（O是气球，I是线）【形】
OJ 蛋卷（冰淇淋）【音】
OK OK绷（创可贴）
OL 奥利奥【音】
OM 奥巴马【音】
ON onion(洋葱)
OP 原
OQ 望远镜【形】
OR orange(橙子)
OS S形挂钩(O是圆管横截面)【形】
OT 蛋挞【音】
OW owl(猫头鹰)
OX 弹匣
OY 陷阱
OZ 弹珠【音】
P 哨子
PA 爬
PB 皮鞭
PC 泡菜（泡菜坛）
PD 皮带(腰带)
PE 泡儿（吹泡泡）
PF 屏风
PG 屁股
PH PH试纸
PI Pig（猪）
PJ 普京（他会开飞机）
PK 扑克
PL 漂流（皮划艇）
PM 泡面
PN ping乒（乒乓球拍）
PO 婆（老婆婆）
PQ 喷泉
PR 飘柔
PS ps
PT 葡萄
PW 排位
PX 皮箱
PY 朋友
PZ 盆子
Q 旺仔QQ糖
QA qia洽（洽洽香瓜子）
QB Q币
QC 芹菜
QD 青岛（青岛啤酒）
QE 企鹅
QF Qiao(拼音编码)【捆绑】
QG 乞丐
QH 清华（清华园）
QI Qiaoqiaoban(跷跷板)【音】
QJ 青椒（肥大的青椒）
QK 昆卡（DOTA船长）【音】
QL 千里（葫芦娃千里眼）
QM 球门
QN 气囊（洗耳球）【捆绑】
QO 热气球
QP 青苹
QR 情人
QS 翘舌（舌头）
QT 气筒
QW 青蛙
QX 球鞋
QY 蚯蚓
QZ 裙子
R Rocket(火箭)
RA 仁安
RB 日本
RC 肉串
RD 肉盾
RE 热
RF 燃放
RG 热狗
RH 润滑
RI 日（太阳）
RJ 软件
RK 软考
RL 人类
RM 燃煤（蜂窝煤）
RN RaiN(雨)
RO rou肉
RP 人品
RQ 日期
RS 瑞兽
RT 人头
RW 肉丸
RX 热血
RY 任意
RZ 忍者
S 超人的内裤
SA 萨克斯
SB 鼠标
SC 四川
SD SD卡（储存卡）
SE 色
SF 沙发
SG 试管
SH 死后
SI 死
SJ 时间
SK 生快
SL 森林
SM 烧卖
SN 少女
SO 所以
SP 算盘
SQ 山丘
SR SpideR (蜘蛛侠)
ST 水桶
SW solidworks
SX 水下
SY 山羊
SZ 扇子
T 十字架【形】
TA 塔
TB 淘宝
TC 天才
TD 团队
TE 特
TF 屠夫
TG 铜管
TH 弹簧
TI 梯
TJ 太监
TK 坦克
TL 螳螂
TM Tom
TN 鸵鸟
TO TOTO\toilet
TP 传送
TQ 台球
TR 土壤
TS 铁丝
TW 铁网
TX 拖鞋
TY 太阳
TZ 听诊
W 折叠帐篷
WA 娃
WB 卫兵
WC 厕所
WD 豌豆
WE 瓦尔基里
WF 汪峰
WG 乌龟
WH 武汉
WI windows
WJ 围巾
WK 悟空
WL 涡轮
WM 五魔
WN 蜗牛
WO 窝窝头
WP 瓦片
WQ 武器
WR 五仁（切糕？沙琪玛）
WS 卫生
WT 挖土（挖掘机）
WX 蚊香
WY 乌鸦
WZ 王者
X 禁停标志牌【形】
XA 虾
XB 线板（插线板，插排）
XC 铁钳【形】
XD 鞋垫
XE 星儿（派大星）【捆绑】
XF 修复（用扳手修复）【捆绑】
XG 西瓜
XH 鲜花
XI 洗
XJ 香蕉
XK 胸口
XL 项链
XM 小猫
XN 犀牛
XO 白兰地
XP 橡皮
XQ 象棋
XR 仙人（仙人掌）
XS 西施
XT 袖套
XW 显微
XY 香烟
XZ 先知
Y 树杈
YA 牙
YB 元宝
YC 烟囱
YD 烟斗
YE 叶
YF 衣服
YG 牙膏
YH 樱花
YI 衣架
YJ 泳镜
YK 遥控（手柄）
YL 哑铃
YM 羽毛（羽毛球）
YN 一诺
YO 悠悠球
YP 邮票
YQ 牙签
YR 鱼人
YS 钥匙
YT 油条
YW 渔网
YX 音响
YZ 眼罩
Z Zorro(佐罗)【音】
